Experimental,Control,Time_point
0.36,0.397,Day 1
0.366,0.384,Day 1
0.36,0.389,Day 1
0.358,0.369,Day 1
0.447,0.497,Day 2
0.441,0.472,Day 2
0.425,0.466,Day 2
0.416,0.47,Day 2
